c 0 0 -30 0 0 -1.0 35.0 35.0 25.0 1600 1200


/ H left bar top
s -10 -7 -65 1
s -10 -6 -65 1
s -10 -5 -65 1
s -10 -4 -65 1
s -10 -3 -65 1
s -10 -2 -65 1
s -10 -1 -65 1
s -10 0 -65 1
/H left bar bottom
s -10 7 -65 1
s -10 6 -65 1
s -10 5 -65 1
s -10 4 -65 1
s -10 3 -65 1
s -10 2 -65 1
s -10 1 -65 1

/ H left bar top
s -3 -7 -65 1
s -3 -6 -65 1
s -3 -5 -65 1
s -3 -4 -65 1
s -3 -3 -65 1
s -3 -2 -65 1
s -3 -1 -65 1
s -3 0 -65 1
/H left bar bottom
s -3 7 -65 1
s -3 6 -65 1
s -3 5 -65 1
s -3 4 -65 1
s -3 3 -65 1
s -3 2 -65 1
s -3 1 -65 1

/H middle bar
s -9 0 -65 1
s -8 0 -65 1
s -7 0 -65 1
s -6 0 -65 1
s -5 0 -65 1
s -4 0 -65 1


/I left bar top
s 5 -7 -65 1
s 5 -6 -65 1
s 5 -5 -65 1
s 5 -4 -65 1
s 5 -3 -65 1
s 5 -2 -65 1
s 5 -1 -65 1
s 5 0 -65 1
/I left bar bottom
s 5 7 -65 1
s 5 6 -65 1
s 5 5 -65 1
s 5 4 -65 1
s 5 3 -65 1
s 5 2 -65 1
s 5 1 -65 1

s 4 7 -65 1
s 6 7 -65 1
s 4 -7 -65 1
s 6 -7 -65 1
